Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
12/01/2018,BRONX,B03,40500,21814
12/01/2018,BRONX,B04,55973,30618
12/01/2018,BRONX,B05,54018,29318
12/01/2018,BRONX,B06,38141,20394
12/01/2018,BRONX,B07,44791,25235
12/01/2018,BRONX,B08,15859,9523
12/01/2018,BRONX,B09,51447,28001
12/01/2018,BRONX,B10,17421,10544
12/01/2018,BRONX,B11,23286,13534
12/01/2018,BRONX,B12,36510,19927
12/01/2018,BROOKLYN,K01,50611,19968
12/01/2018,BROOKLYN,K02,13105,8806
12/01/2018,BROOKLYN,K03,43051,23061
12/01/2018,BROOKLYN,K04,23790,14371
12/01/2018,BROOKLYN,K05,61878,34785
12/01/2018,BROOKLYN,K06,9752,6452
12/01/2018,BROOKLYN,K07,21169,12330
12/01/2018,BROOKLYN,K08,19932,12626
12/01/2018,BROOKLYN,K09,20104,12156
12/01/2018,BROOKLYN,K10,16550,9611
12/01/2018,BROOKLYN,K11,35305,20694
12/01/2018,BROOKLYN,K12,59507,19431
12/01/2018,BROOKLYN,K13,31486,20837
12/01/2018,BROOKLYN,K14,30466,17745
12/01/2018,BROOKLYN,K15,27601,17010
12/01/2018,BROOKLYN,K16,36343,20081
12/01/2018,BROOKLYN,K17,29471,18464
12/01/2018,BROOKLYN,K18,27371,16380
12/01/2018,MANHATTAN,M01,2091,1680
12/01/2018,MANHATTAN,M02,2937,2333
12/01/2018,MANHATTAN,M03,36068,24511
12/01/2018,MANHATTAN,M04,11529,8671
12/01/2018,MANHATTAN,M05,5707,3829
12/01/2018,MANHATTAN,M06,4983,4314
12/01/2018,MANHATTAN,M07,16080,12068
12/01/2018,MANHATTAN,M08,5490,4367
12/01/2018,MANHATTAN,M09,21830,14223
12/01/2018,MANHATTAN,M10,32765,20732
12/01/2018,MANHATTAN,M11,41649,25977
12/01/2018,MANHATTAN,M12,45582,30979
12/01/2018,QUEENS,Q01,21830,13067
12/01/2018,QUEENS,Q02,10534,6621
12/01/2018,QUEENS,Q03,23959,13722
12/01/2018,QUEENS,Q04,25154,14573
12/01/2018,QUEENS,Q05,17539,10258
12/01/2018,QUEENS,Q06,9871,6860
12/01/2018,QUEENS,Q07,25456,16689
12/01/2018,QUEENS,Q08,17087,10305
12/01/2018,QUEENS,Q09,21275,12212
12/01/2018,QUEENS,Q10,15609,9359
12/01/2018,QUEENS,Q11,6319,4312
12/01/2018,QUEENS,Q12,42784,25723
12/01/2018,QUEENS,Q13,18536,11837
12/01/2018,QUEENS,Q14,28537,15315
12/01/2018,STATEN ISLAND,S01,36386,19289
12/01/2018,STATEN ISLAND,S02,13799,8226
12/01/2018,STATEN ISLAND,S03,9771,6233
03/01/2019,BRONX,B01,43127,23086
03/01/2019,BRONX,B02,21203,11531
03/01/2019,BRONX,B03,40628,21829
03/01/2019,BRONX,B04,55067,30205
03/01/2019,BRONX,B05,53602,29021
03/01/2019,BRONX,B06,37803,20308
03/01/2019,BRONX,B07,44357,25149
03/01/2019,BRONX,B08,15705,9398
03/01/2019,BRONX,B09,50759,27846
03/01/2019,BRONX,B10,17192,10490
03/01/2019,BRONX,B11,23107,13461
03/01/2019,BRONX,B12,36142,19757
03/01/2019,BROOKLYN,K01,50622,19950
03/01/2019,BROOKLYN,K02,13107,8806
03/01/2019,BROOKLYN,K03,42916,22991
03/01/2019,BROOKLYN,K04,23579,14304
03/01/2019,BROOKLYN,K05,61594,34850
03/01/2019,BROOKLYN,K06,9712,6488
03/01/2019,BROOKLYN,K07,20782,12182
03/01/2019,BROOKLYN,K08,19772,12636
03/01/2019,BROOKLYN,K09,19898,12076
03/01/2019,BROOKLYN,K10,16441,9635
03/01/2019,BROOKLYN,K11,34870,20563
03/01/2019,BROOKLYN,K12,59370,19344
03/01/2019,BROOKLYN,K13,31388,20782
03/01/2019,BROOKLYN,K14,29935,17531
03/01/2019,BROOKLYN,K15,27338,16964
03/01/2019,BROOKLYN,K16,36292,20171
03/01/2019,BROOKLYN,K17,29409,18576
03/01/2019,BROOKLYN,K18,27326,16368
03/01/2019,MANHATTAN,M01,2178,1749
03/01/2019,MANHATTAN,M02,2853,2306
03/01/2019,MANHATTAN,M03,35791,24382
03/01/2019,MANHATTAN,M04,11565,8657
03/01/2019,MANHATTAN,M05,5561,3803
03/01/2019,MANHATTAN,M06,5011,4359
03/01/2019,MANHATTAN,M07,16007,12027
03/01/2019,MANHATTAN,M08,5384,4306
03/01/2019,MANHATTAN,M09,21433,14030
03/01/2019,MANHATTAN,M10,32129,20429
03/01/2019,MANHATTAN,M11,41032,25777
03/01/2019,MANHATTAN,M12,44388,30298
03/01/2019,QUEENS,Q01,21767,12980
03/01/2019,QUEENS,Q02,10552,6600
03/01/2019,QUEENS,Q03,23341,13405
03/01/2019,QUEENS,Q04,24662,14335
03/01/2019,QUEENS,Q05,17263,10144
03/01/2019,QUEENS,Q06,9883,6869
03/01/2019,QUEENS,Q07,25320,16651
03/01/2019,QUEENS,Q08,17063,10338
03/01/2019,QUEENS,Q09,20744,12013
03/01/2019,QUEENS,Q10,15396,9331
03/01/2019,QUEENS,Q11,6403,4351
03/01/2019,QUEENS,Q12,42290,25688
03/01/2019,QUEENS,Q13,18552,11933
03/01/2019,QUEENS,Q14,28643,15390
03/01/2019,STATEN ISLAND,S01,35940,19122
03/01/2019,STATEN ISLAND,S02,13728,8183
03/01/2019,STATEN ISLAND,S03,9744,6233
06/01/2019,BRONX,B01,42338,22839
06/01/2019,BRONX,B02,20737,11386
06/01/2019,BRONX,B03,39878,21657
06/01/2019,BRONX,B04,53554,29604
06/01/2019,BRONX,B05,51850,28291
06/01/2019,BRONX,B06,37212,20093
06/01/2019,BRONX,B07,43266,24741
06/01/2019,BRONX,B08,15289,9180
06/01/2019,BRONX,B09,49754,27386
06/01/2019,BRONX,B10,16979,10433
06/01/2019,BRONX,B11,22585,13222
06/01/2019,BRONX,B12,35595,19530
06/01/2019,BROOKLYN,K01,49688,19692
06/01/2019,BROOKLYN,K02,12707,8585
06/01/2019,BROOKLYN,K03,42175,22689
06/01/2019,BROOKLYN,K04,22898,13944
06/01/2019,BROOKLYN,K05,60158,34349
06/01/2019,BROOKLYN,K06,9682,6506
06/01/2019,BROOKLYN,K07,20210,11920
06/01/2019,BROOKLYN,K08,19179,12354
06/01/2019,BROOKLYN,K09,19546,11936
06/01/2019,BROOKLYN,K10,16134,9544
06/01/2019,BROOKLYN,K11,34095,20231
06/01/2019,BROOKLYN,K12,58535,19012
06/01/2019,BROOKLYN,K13,30591,20465
06/01/2019,BROOKLYN,K14,29212,17163
06/01/2019,BROOKLYN,K15,26621,16639
06/01/2019,BROOKLYN,K16,35639,19966
06/01/2019,BROOKLYN,K17,28529,18165
06/01/2019,BROOKLYN,K18,26792,16163
06/01/2019,MANHATTAN,M01,2184,1770
06/01/2019,MANHATTAN,M02,2775,2250
06/01/2019,MANHATTAN,M03,35305,24217
06/01/2019,MANHATTAN,M04,11315,8488
06/01/2019,MANHATTAN,M05,5308,3716
06/01/2019,MANHATTAN,M06,5011,4322
06/01/2019,MANHATTAN,M07,15625,11779
06/01/2019,MANHATTAN,M08,5254,4192
06/01/2019,MANHATTAN,M09,20840,13742
06/01/2019,MANHATTAN,M10,30804,19758
06/01/2019,MANHATTAN,M11,40234,25354
06/01/2019,MANHATTAN,M12,43400,29730
06/01/2019,QUEENS,Q01,21293,12769
06/01/2019,QUEENS,Q02,10293,6477
06/01/2019,QUEENS,Q03,22617,13043
06/01/2019,QUEENS,Q04,24024,14010
06/01/2019,QUEENS,Q05,16965,9963
06/01/2019,QUEENS,Q06,9651,6761
06/01/2019,QUEENS,Q07,25006,16503
06/01/2019,QUEENS,Q08,16797,10221
06/01/2019,QUEENS,Q09,20207,11751
06/01/2019,QUEENS,Q10,15042,9126
06/01/2019,QUEENS,Q11,6333,4316
06/01/2019,QUEENS,Q12,41373,25288
06/01/2019,QUEENS,Q13,18224,11806
06/01/2019,QUEENS,Q14,27909,15139
06/01/2019,STATEN ISLAND,S01,35062,18683
06/01/2019,STATEN ISLAND,S02,13599,8129
06/01/2019,STATEN ISLAND,S03,9624,6142
09/01/2019,BRONX,B01,41969,22681
09/01/2019,BRONX,B02,20542,11318
09/01/2019,BRONX,B03,39456,21518
09/01/2019,BRONX,B04,52131,29095
09/01/2019,BRONX,B05,50652,27772
09/01/2019,BRONX,B06,36831,20036
09/01/2019,BRONX,B07,42511,24395
09/01/2019,BRONX,B08,15257,9177
09/01/2019,BRONX,B09,49052,27111
09/01/2019,BRONX,B10,16745,10288
09/01/2019,BRONX,B11,22349,13099
09/01/2019,BRONX,B12,35257,19366
09/01/2019,BROOKLYN,K01,49470,19580
09/01/2019,BROOKLYN,K02,12682,8554
09/01/2019,BROOKLYN,K03,41664,22449
09/01/2019,BROOKLYN,K04,22301,13700
09/01/2019,BROOKLYN,K05,59488,34055
09/01/2019,BROOKLYN,K06,9754,6511
09/01/2019,BROOKLYN,K07,19654,11670
09/01/2019,BROOKLYN,K08,18858,12226
09/01/2019,BROOKLYN,K09,19295,11792
09/01/2019,BROOKLYN,K10,15945,9491
09/01/2019,BROOKLYN,K11,33279,19920
09/01/2019,BROOKLYN,K12,58390,18865
09/01/2019,BROOKLYN,K13,30178,20214
09/01/2019,BROOKLYN,K14,28377,16880
09/01/2019,BROOKLYN,K15,26162,16422
09/01/2019,BROOKLYN,K16,35066,19827
09/01/2019,BROOKLYN,K17,28160,18092
09/01/2019,BROOKLYN,K18,26708,16132
09/01/2019,MANHATTAN,M01,2163,1757
09/01/2019,MANHATTAN,M02,2729,2218
09/01/2019,MANHATTAN,M03,35323,24279
09/01/2019,MANHATTAN,M04,11404,8557
09/01/2019,MANHATTAN,M05,5525,3765
09/01/2019,MANHATTAN,M06,4981,4305
09/01/2019,MANHATTAN,M07,15501,11673
09/01/2019,MANHATTAN,M08,5273,4203
09/01/2019,MANHATTAN,M09,20553,13569
09/01/2019,MANHATTAN,M10,30031,19299
09/01/2019,MANHATTAN,M11,39946,25173
09/01/2019,MANHATTAN,M12,42565,29289
09/01/2019,QUEENS,Q01,20911,12642
09/01/2019,QUEENS,Q02,10066,6364
09/01/2019,QUEENS,Q03,21923,12716
09/01/2019,QUEENS,Q04,23221,13626
09/01/2019,QUEENS,Q05,16601,9792
09/01/2019,QUEENS,Q06,9450,6680
09/01/2019,QUEENS,Q07,24753,16435
09/01/2019,QUEENS,Q08,16530,10122
09/01/2019,QUEENS,Q09,19604,11469
09/01/2019,QUEENS,Q10,14837,9019
09/01/2019,QUEENS,Q11,6427,4371
09/01/2019,QUEENS,Q12,40884,25104
09/01/2019,QUEENS,Q13,18259,11836
09/01/2019,QUEENS,Q14,27559,15003
09/01/2019,STATEN ISLAND,S01,34943,18614
09/01/2019,STATEN ISLAND,S02,13633,8100
09/01/2019,STATEN ISLAND,S03,9591,6136
12/01/2019,Bronx,B01,41728,22758
12/01/2019,Bronx,B02,20343,11299
12/01/2019,Bronx,B03,39004,21484
12/01/2019,Bronx,B04,51190,28742
12/01/2019,Bronx,B05,49830,27485
12/01/2019,Bronx,B06,36902,20086
12/01/2019,Bronx,B07,42103,24237
12/01/2019,Bronx,B08,15151,9150
12/01/2019,Bronx,B09,48932,27147
12/01/2019,Bronx,B10,16891,10396
12/01/2019,Bronx,B11,22177,13061
12/01/2019,Bronx,B12,34989,19265
12/01/2019,Brooklyn,K01,49148,19579
12/01/2019,Brooklyn,K02,12650,8588
12/01/2019,Brooklyn,K03,41282,22412
12/01/2019,Brooklyn,K04,22119,13720
12/01/2019,Brooklyn,K05,59297,34164
12/01/2019,Brooklyn,K06,9957,6601
12/01/2019,Brooklyn,K07,19437,11633
12/01/2019,Brooklyn,K08,18676,12199
12/01/2019,Brooklyn,K09,19106,11826
12/01/2019,Brooklyn,K10,15953,9536
12/01/2019,Brooklyn,K11,32613,19739
12/01/2019,Brooklyn,K12,57528,18780
12/01/2019,Brooklyn,K13,30142,20301
12/01/2019,Brooklyn,K14,28006,16818
12/01/2019,Brooklyn,K15,25827,16353
12/01/2019,Brooklyn,K16,35182,19931
12/01/2019,Brooklyn,K17,27917,18021
12/01/2019,Brooklyn,K18,26473,16136
12/01/2019,Manhattan,M01,2196,1789
12/01/2019,Manhattan,M02,2663,2175
12/01/2019,Manhattan,M03,34935,24025
12/01/2019,Manhattan,M04,11355,8541
12/01/2019,Manhattan,M05,5760,3856
12/01/2019,Manhattan,M06,4922,4251
12/01/2019,Manhattan,M07,15508,11621
12/01/2019,Manhattan,M08,5230,4175
12/01/2019,Manhattan,M09,20485,13541
12/01/2019,Manhattan,M10,29268,18987
12/01/2019,Manhattan,M11,39628,24927
12/01/2019,Manhattan,M12,41909,29027
12/01/2019,Queens,Q01,20858,12679
12/01/2019,Queens,Q02,9719,6223
12/01/2019,Queens,Q03,21352,12459
12/01/2019,Queens,Q04,22755,13432
12/01/2019,Queens,Q05,16369,9698
12/01/2019,Queens,Q06,9293,6656
12/01/2019,Queens,Q07,24785,16523
12/01/2019,Queens,Q08,16234,10019
12/01/2019,Queens,Q09,19386,11413
12/01/2019,Queens,Q10,14696,8975
12/01/2019,Queens,Q11,6486,4387
12/01/2019,Queens,Q12,40518,24947
12/01/2019,Queens,Q13,17978,11703
12/01/2019,Queens,Q14,27394,14948
12/01/2019,Staten Island,S01,34626,18479
12/01/2019,Staten Island,S02,13737,8189
12/01/2019,Staten Island,S03,9560,6142
03/01/2020,Bronx,B01,41545,22736
03/01/2020,Bronx,B02,20279,11294
03/01/2020,Bronx,B03,39250,21694
03/01/2020,Bronx,B04,50360,28414
03/01/2020,Bronx,B05,49525,27397
03/01/2020,Bronx,B06,36637,20047
03/01/2020,Bronx,B07,41865,24217
03/01/2020,Bronx,B08,15194,9190
03/01/2020,Bronx,B09,48708,27052
03/01/2020,Bronx,B10,16879,10411
03/01/2020,Bronx,B11,22136,13061
03/01/2020,Bronx,B12,34877,19262
03/01/2020,Brooklyn,K01,49022,19574
03/01/2020,Brooklyn,K02,12731,8649
03/01/2020,Brooklyn,K03,40998,22347
03/01/2020,Brooklyn,K04,21920,13739
03/01/2020,Brooklyn,K05,59085,34172
03/01/2020,Brooklyn,K06,9908,6592
03/01/2020,Brooklyn,K07,19136,11555
03/01/2020,Brooklyn,K08,18716,12293
03/01/2020,Brooklyn,K09,19137,11873
03/01/2020,Brooklyn,K10,15961,9573
03/01/2020,Brooklyn,K11,32328,19687
03/01/2020,Brooklyn,K12,57542,18790
03/01/2020,Brooklyn,K13,30029,20314
03/01/2020,Brooklyn,K14,27714,16800
03/01/2020,Brooklyn,K15,25811,16391
03/01/2020,Brooklyn,K16,35363,20091
03/01/2020,Brooklyn,K17,27712,17932
03/01/2020,Brooklyn,K18,26534,16181
03/01/2020,Manhattan,M01,2201,1795
03/01/2020,Manhattan,M02,2628,2146
03/01/2020,Manhattan,M03,34830,23982
03/01/2020,Manhattan,M04,11414,8584
03/01/2020,Manhattan,M05,5592,3857
03/01/2020,Manhattan,M06,4897,4224
03/01/2020,Manhattan,M07,15570,11645
03/01/2020,Manhattan,M08,5218,4164
03/01/2020,Manhattan,M09,20339,13475
03/01/2020,Manhattan,M10,28931,18788
03/01/2020,Manhattan,M11,39350,24851
03/01/2020,Manhattan,M12,41300,28799
03/01/2020,Queens,Q01,20896,12771
03/01/2020,Queens,Q02,9720,6212
03/01/2020,Queens,Q03,21029,12324
03/01/2020,Queens,Q04,22450,13300
03/01/2020,Queens,Q05,16273,9685
03/01/2020,Queens,Q06,9248,6653
03/01/2020,Queens,Q07,24845,16613
03/01/2020,Queens,Q08,16125,9969
03/01/2020,Queens,Q09,19214,11370
03/01/2020,Queens,Q10,14519,8898
03/01/2020,Queens,Q11,6524,4431
03/01/2020,Queens,Q12,40088,24661
03/01/2020,Queens,Q13,17835,11660
03/01/2020,Queens,Q14,27358,15004
03/01/2020,Staten Island,S01,34592,18454
03/01/2020,Staten Island,S02,13789,8187
03/01/2020,Staten Island,S03,9553,6129
06/01/2020,Manhattan,M01,2280,1807
06/01/2020,Manhattan,M02,2912,2362
06/01/2020,Manhattan,M03,37082,25467
06/01/2020,Manhattan,M04,12539,9382
06/01/2020,Manhattan,M05,6165,4171
06/01/2020,Manhattan,M06,5326,4568
06/01/2020,Manhattan,M07,16785,12440
06/01/2020,Manhattan,M08,5758,4515
06/01/2020,Manhattan,M09,22436,14766
06/01/2020,Manhattan,M10,31343,20295
06/01/2020,Manhattan,M11,42554,26742
06/01/2020,Manhattan,M12,45712,31442
06/01/2020,Bronx,B01,45637,24832
06/01/2020,Bronx,B02,22420,12426
06/01/2020,Bronx,B03,43317,23789
06/01/2020,Bronx,B04,56155,31479
06/01/2020,Bronx,B05,54815,30212
06/01/2020,Bronx,B06,39679,21713
06/01/2020,Bronx,B07,46703,26848
06/01/2020,Bronx,B08,17567,10506
06/01/2020,Bronx,B09,54171,29984
06/01/2020,Bronx,B10,19215,11713
06/01/2020,Bronx,B11,24988,14618
06/01/2020,Bronx,B12,38867,21459
06/01/2020,Brooklyn,K01,52201,21241
06/01/2020,Brooklyn,K02,14123,9614
06/01/2020,Brooklyn,K03,45155,24965
06/01/2020,Brooklyn,K04,24696,15570
06/01/2020,Brooklyn,K05,65389,37915
06/01/2020,Brooklyn,K06,11010,7289
06/01/2020,Brooklyn,K07,20917,12648
06/01/2020,Brooklyn,K08,20630,13608
06/01/2020,Brooklyn,K09,21313,13145
06/01/2020,Brooklyn,K10,17758,10583
06/01/2020,Brooklyn,K11,35284,21152
06/01/2020,Brooklyn,K12,61108,20089
06/01/2020,Brooklyn,K13,32014,21398
06/01/2020,Brooklyn,K14,30806,18449
06/01/2020,Brooklyn,K15,28044,17558
06/01/2020,Brooklyn,K16,38889,22149
06/01/2020,Brooklyn,K17,31527,20294
06/01/2020,Brooklyn,K18,30261,18310
06/01/2020,Queens,Q01,23598,14255
06/01/2020,Queens,Q02,11059,6956
06/01/2020,Queens,Q03,24106,13884
06/01/2020,Queens,Q04,25613,14884
06/01/2020,Queens,Q05,19173,11268
06/01/2020,Queens,Q06,10437,7238
06/01/2020,Queens,Q07,27266,17848
06/01/2020,Queens,Q08,18376,11043
06/01/2020,Queens,Q09,22539,13053
06/01/2020,Queens,Q10,16714,10036
06/01/2020,Queens,Q11,7279,4848
06/01/2020,Queens,Q12,45667,27581
06/01/2020,Queens,Q13,20743,13267
06/01/2020,Queens,Q14,29808,16209
06/01/2020,Staten Island,S01,38088,20244
06/01/2020,Staten Island,S02,15293,8931
06/01/2020,Staten Island,S03,10946,6853
06/01/2022,Staten Island,S01,39760,21283
06/01/2022,Staten Island,S02,16840,9730
06/01/2022,Staten Island,S03,12360,7639
09/01/2022,Manhattan,M01,1971,1531
09/01/2022,Manhattan,M02,2992,2391
09/01/2022,Manhattan,M03,38686,26374
09/01/2022,Manhattan,M04,13395,10082
09/01/2022,Manhattan,M05,4203,3471
09/01/2022,Manhattan,M06,5522,4589
09/01/2022,Manhattan,M07,17336,12774
09/01/2022,Manhattan,M08,6478,4977
09/01/2022,Manhattan,M09,23040,15173
09/01/2022,Manhattan,M10,31314,20385
09/01/2022,Manhattan,M11,43886,27588
09/01/2022,Manhattan,M12,48245,33155
09/01/2022,Bronx,B01,45640,25511
09/01/2022,Bronx,B02,22883,12945
09/01/2022,Bronx,B03,44046,24688
09/01/2022,Bronx,B04,57356,33041
09/01/2022,Bronx,B05,55413,31556
09/01/2022,Bronx,B06,40438,22439
09/01/2022,Bronx,B07,49368,28787
09/01/2022,Bronx,B08,18820,11390
09/01/2022,Bronx,B09,56900,31803
09/01/2022,Bronx,B10,20962,12778
09/01/2022,Bronx,B11,27058,15766
09/01/2022,Bronx,B12,41733,23224
09/01/2022,Brooklyn,K01,51498,21220
09/01/2022,Brooklyn,K02,14125,9689
09/01/2022,Brooklyn,K03,44606,24578
09/01/2022,Brooklyn,K04,23967,15431
09/01/2022,Brooklyn,K05,65810,38506
09/01/2022,Brooklyn,K06,10827,7148
09/01/2022,Brooklyn,K07,22841,14168
09/01/2022,Brooklyn,K08,19622,13133
09/01/2022,Brooklyn,K09,21440,13373
09/01/2022,Brooklyn,K10,19324,11665
09/01/2022,Brooklyn,K11,39946,23612
09/01/2022,Brooklyn,K12,63906,21367
09/01/2022,Brooklyn,K13,33305,22107
09/01/2022,Brooklyn,K14,32840,19469
09/01/2022,Brooklyn,K15,29929,18476
09/01/2022,Brooklyn,K16,37145,21909
09/01/2022,Brooklyn,K17,32532,21333
09/01/2022,Brooklyn,K18,30102,18710
09/01/2022,Queens,Q01,24756,15159
09/01/2022,Queens,Q02,11759,7588
09/01/2022,Queens,Q03,25191,14908
09/01/2022,Queens,Q04,28040,16646
09/01/2022,Queens,Q05,20830,12428
09/01/2022,Queens,Q06,11579,7834
09/01/2022,Queens,Q07,32740,21600
09/01/2022,Queens,Q08,20494,12265
09/01/2022,Queens,Q09,24956,14508
09/01/2022,Queens,Q10,17900,10910
09/01/2022,Queens,Q11,9003,5875
09/01/2022,Queens,Q12,47201,28392
09/01/2022,Queens,Q13,22212,14093
09/01/2022,Queens,Q14,29914,16504
09/01/2022,Staten Island,S01,39719,21203
09/01/2022,Staten Island,S02,17267,9995
09/01/2022,Staten Island,S03,12474,7744
12/01/2022,Manhattan,M01,2025,1595
12/01/2022,Manhattan,M02,3010,2412
12/01/2022,Manhattan,M03,38800,26521
12/01/2022,Manhattan,M04,13519,10143
12/01/2022,Manhattan,M05,4361,3522
12/01/2022,Manhattan,M06,5653,4696
12/01/2022,Manhattan,M07,17222,12706
12/01/2022,Manhattan,M08,6535,5019
12/01/2022,Manhattan,M09,23014,15220
12/01/2022,Manhattan,M10,31560,20520
12/01/2022,Manhattan,M11,43752,27597
12/01/2022,Manhattan,M12,48657,33458
12/01/2022,Bronx,B01,46445,26134
12/01/2022,Bronx,B02,23422,13240
12/01/2022,Bronx,B03,44444,25105
12/01/2022,Bronx,B04,58250,33662
12/01/2022,Bronx,B05,56013,32027
12/01/2022,Bronx,B06,41128,22877
12/01/2022,Bronx,B07,49917,29100
12/01/2022,Bronx,B08,19124,11612
12/01/2022,Bronx,B09,57760,32349
12/01/2022,Bronx,B10,21290,13010
12/01/2022,Bronx,B11,27454,16096
12/01/2022,Bronx,B12,42761,23728
12/01/2022,Brooklyn,K01,51822,21392
12/01/2022,Brooklyn,K02,14218,9791
12/01/2022,Brooklyn,K03,45079,24714
12/01/2022,Brooklyn,K04,24171,15522
12/01/2022,Brooklyn,K05,66755,39112
12/01/2022,Brooklyn,K06,10766,7120
12/01/2022,Brooklyn,K07,23035,14230
12/01/2022,Brooklyn,K08,20005,13338
12/01/2022,Brooklyn,K09,21790,13555
12/01/2022,Brooklyn,K10,19733,11883
12/01/2022,Brooklyn,K11,41181,24216
12/01/2022,Brooklyn,K12,65401,21745
12/01/2022,Brooklyn,K13,34255,22626
12/01/2022,Brooklyn,K14,33901,19943
12/01/2022,Brooklyn,K15,31232,19148
12/01/2022,Brooklyn,K16,37538,22101
12/01/2022,Brooklyn,K17,33186,21725
12/01/2022,Brooklyn,K18,30590,19002
12/01/2022,Queens,Q01,25025,15323
12/01/2022,Queens,Q02,11702,7586
12/01/2022,Queens,Q03,25599,15096
12/01/2022,Queens,Q04,28395,16912
12/01/2022,Queens,Q05,20893,12491
12/01/2022,Queens,Q06,11912,7990
12/01/2022,Queens,Q07,33616,22181
12/01/2022,Queens,Q08,20839,12555
12/01/2022,Queens,Q09,25344,14751
12/01/2022,Queens,Q10,18326,11169
12/01/2022,Queens,Q11,9243,6036
12/01/2022,Queens,Q12,48453,29010
12/01/2022,Queens,Q13,22648,14327
12/01/2022,Queens,Q14,30351,16763
12/01/2022,Staten Island,S01,39923,21430
12/01/2022,Staten Island,S02,17783,10311
12/01/2022,Staten Island,S03,13059,8073
